bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
33.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,2970.0,2862.0,108.0,32.36824247907713,68.35443037974683,35.9861879006697,26.5
34.0,90.0,86.0,4.0,95.55555555555556,4.444444444444443,3060.0,2948.0,112.0,33.34087310563221,70.88607594936708,37.54520284373487,26.321428571428573
35.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,3150.0,3036.0,114.0,34.336123049083916,72.15189873417721,37.81577568509329,26.63157894736842
36.0,90.0,90.0,0.0,100.0,0.0,3240.0,3126.0,114.0,35.35399230943226,72.15189873417721,36.79790642474495,27.42105263157895
37.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,3330.0,3215.0,115.0,36.36055191133228,72.78481012658227,36.42425821524999,27.956521739130434
38.0,90.0,90.0,0.0,100.0,0.0,3420.0,3305.0,115.0,37.378421171680614,72.78481012658227,35.40638895490166,28.73913043478261
39.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,3510.0,3394.0,116.0,38.38498077358064,73.41772151898734,35.0327407454067,29.25862068965517
40.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,3600.0,3483.0,117.0,39.39154037548066,74.0506329113924,34.65909253591174,29.76923076923077
41.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,3690.0,3572.0,118.0,40.39809997738068,74.68354430379746,34.28544432641678,30.271186440677965
42.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,3780.0,3661.0,119.0,41.404659579280704,75.31645569620254,33.911796116921835,30.764705882352942
43.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,3870.0,3750.0,120.0,42.411219181180726,75.9493670886076,33.538147907426875,31.25
44.0,90.0,90.0,0.0,100.0,0.0,3960.0,3840.0,120.0,43.42908844152907,75.9493670886076,32.520278647078534,32.0
45.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,4050.0,3929.0,121.0,44.43564804342909,76.58227848101266,32.146630437583575,32.47107438016529
46.0,90.0,90.0,0.0,100.0,0.0,4140.0,4019.0,121.0,45.453517303777424,76.58227848101266,31.12876117723524,33.21487603305785
47.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,4230.0,4108.0,122.0,46.46007690567745,77.21518987341773,30.75511296774028,33.67213114754098
48.0,90.0,86.0,4.0,95.55555555555556,4.444444444444443,4320.0,4194.0,126.0,47.43270753223253,79.74683544303798,32.31412791080545,33.285714285714285
49.0,90.0,87.0,3.0,96.66666666666667,3.3333333333333286,4410.0,4281.0,129.0,48.41664781723592,81.64556962025317,33.22892180301725,33.18604651162791
50.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,4500.0,4369.0,131.0,49.41189776068763,82.9113924050633,33.499494644375666,33.35114503816794
51.0,90.0,86.0,4.0,95.55555555555556,4.444444444444443,4590.0,4455.0,135.0,50.3845283872427,85.44303797468355,35.058509587440845,33.0
52.0,90.0,90.0,0.0,100.0,0.0,4680.0,4545.0,135.0,51.402397647591044,85.44303797468355,34.040640327092504,33.666666666666664
53.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,4770.0,4634.0,136.0,52.40895724949107,86.07594936708861,33.666992117597545,34.0735294117647
54.0,90.0,90.0,0.0,100.0,0.0,4860.0,4724.0,136.0,53.4268265098394,86.07594936708861,32.64912285724921,34.73529411764706
55.0,90.0,90.0,0.0,100.0,0.0,4950.0,4814.0,136.0,54.44469577018774,86.07594936708861,31.63125359690087,35.39705882352941
56.0,90.0,90.0,0.0,100.0,0.0,5040.0,4904.0,136.0,55.46256503053608,86.07594936708861,30.613384336552535,36.05882352941177
57.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,5130.0,4993.0,137.0,56.4691246324361,86.70886075949367,30.239736127057576,36.44525547445255
58.0,90.0,90.0,0.0,100.0,0.0,5220.0,5083.0,137.0,57.48699389278444,86.70886075949367,29.221866866709235,37.1021897810219
59.0,90.0,90.0,0.0,100.0,0.0,5310.0,5173.0,137.0,58.504863153132774,86.70886075949367,28.2039976063609,37.75912408759124
60.0,90.0,90.0,0.0,100.0,0.0,5400.0,5263.0,137.0,59.522732413481116,86.70886075949367,27.18612834601256,38.416058394160586
61.0,90.0,90.0,0.0,100.0,0.0,5490.0,5353.0,137.0,60.54060167382945,86.70886075949367,26.168259085664225,39.07299270072993
62.0,90.0,90.0,0.0,100.0,0.0,5580.0,5443.0,137.0,61.55847093417779,86.70886075949367,25.150389825315884,39.72992700729927
63.0,90.0,87.0,3.0,96.66666666666667,3.3333333333333286,5670.0,5530.0,140.0,62.54241121918118,88.60759493670886,26.06518371752768,39.5
64.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,5760.0,5618.0,142.0,63.53766116263289,89.87341772151899,26.335756558886104,39.563380281690144
65.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,5850.0,5707.0,143.0,64.54422076453291,90.50632911392405,25.962108349391144,39.90909090909091
66.0,90.0,90.0,0.0,100.0,0.0,5940.0,5797.0,143.0,65.56209002488124,90.50632911392405,24.94423908904281,40.53846153846154
67.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,6030.0,5885.0,145.0,66.55733996833295,91.77215189873418,25.214811930401225,40.58620689655172
68.0,90.0,90.0,0.0,100.0,0.0,6120.0,5975.0,145.0,67.57520922868129,91.77215189873418,24.19694267005289,41.206896551724135
69.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,6210.0,6064.0,146.0,68.58176883058131,92.40506329113924,23.823294460557932,41.534246575342465
70.0,90.0,88.0,2.0,97.77777777777777,2.2222222222222285,6300.0,6152.0,148.0,69.57701877403302,93.67088607594937,24.093867301916347,41.567567567567565
71.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,6390.0,6241.0,149.0,70.58357837593304,94.30379746835443,23.720219092421388,41.88590604026846
72.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,6480.0,6330.0,150.0,71.59013797783307,94.9367088607595,23.34657088292643,42.2
73.0,90.0,85.0,5.0,94.44444444444444,5.555555555555557,6570.0,6415.0,155.0,72.55145894593983,98.10126582278481,25.549806876844983,41.38709677419355
74.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,6660.0,6504.0,156.0,73.55801854783985,98.73417721518987,25.176158667350023,41.69230769230769
75.0,90.0,90.0,0.0,100.0,0.0,6750.0,6594.0,156.0,74.5758878081882,98.73417721518987,24.158289407001675,42.26923076923077
76.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,6840.0,6683.0,157.0,75.58244741008822,99.36708860759494,23.784641197506716,42.56687898089172
77.0,90.0,90.0,0.0,100.0,0.0,6930.0,6773.0,157.0,76.60031667043656,99.36708860759494,22.76677193715838,43.140127388535035
78.0,90.0,90.0,0.0,100.0,0.0,7020.0,6863.0,157.0,77.61818593078489,99.36708860759494,21.748902676810047,43.71337579617835
79.0,90.0,90.0,0.0,100.0,0.0,7110.0,6953.0,157.0,78.63605519113322,99.36708860759494,20.731033416461713,44.28662420382165
80.0,90.0,90.0,0.0,100.0,0.0,7200.0,7043.0,157.0,79.65392445148157,99.36708860759494,19.713164156113365,44.859872611464965
81.0,90.0,90.0,0.0,100.0,0.0,7290.0,7133.0,157.0,80.6717937118299,99.36708860759494,18.69529489576503,45.43312101910828
82.0,90.0,90.0,0.0,100.0,0.0,7380.0,7223.0,157.0,81.68966297217824,99.36708860759494,17.677425635416697,46.00636942675159
83.0,90.0,90.0,0.0,100.0,0.0,7470.0,7313.0,157.0,82.70753223252657,99.36708860759494,16.659556375068362,46.5796178343949
84.0,90.0,89.0,1.0,98.88888888888889,1.1111111111111143,7560.0,7402.0,158.0,83.7140918344266,100.0,16.285908165573403,46.848101265822784
85.0,90.0,90.0,0.0,100.0,0.0,7650.0,7492.0,158.0,84.73196109477493,100.0,15.268038905225069,47.41772151898734
86.0,90.0,90.0,0.0,100.0,0.0,7740.0,7582.0,158.0,85.74983035512328,100.0,14.25016964487672,47.9873417721519
87.0,90.0,90.0,0.0,100.0,0.0,7830.0,7672.0,158.0,86.76769961547161,100.0,13.232300384528386,48.55696202531646
88.0,90.0,90.0,0.0,100.0,0.0,7920.0,7762.0,158.0,87.78556887581995,100.0,12.214431124180052,49.12658227848101
